age,education-num,hours-per-week,income
31,13,60, <=50K
68,10,30, <=50K
26,9,24, <=50K
48,14,40, >50K
29,14,80, <=50K
63,13,35, <=50K
34,13,40, <=50K
32,10,40, <=50K
39,10,56, <=50K
35,9,40, <=50K
40,9,60, >50K
36,9,50, <=50K
74,13,10, <=50K
40,11,50, <=50K
41,14,70, >50K
30,14,30, <=50K
28,11,40, <=50K
23,9,40, <=50K
49,10,40, <=50K
36,10,35, <=50K
43,9,40, <=50K
31,13,40, <=50K
60,9,40, <=50K
44,10,40, <=50K
59,12,35, >50K
47,14,50, >50K
47,10,40, <=50K
33,9,20, <=50K
47,14,60, >50K
40,10,24, <=50K
49,9,40, >50K
31,9,40, <=50K
40,9,40, <=50K
23,10,10, <=50K
67,14,40, <=50K
29,12,50, <=50K
22,9,40, <=50K
43,9,60, <=50K
70,13,40, <=50K
51,10,40, <=50K
44,10,44, <=50K
29,9,40, <=50K
46,13,40, <=50K
48,9,40, <=50K
66,13,45, >50K
39,11,40, <=50K
39,15,35, >50K
53,13,30, <=50K
35,15,45, >50K
68,13,35, >50K
35,10,50, <=50K
46,13,40, >50K
41,13,40, <=50K
29,9,40, <=50K
36,9,40, <=50K
43,9,50, <=50K
58,10,40, <=50K
51,5,40, <=50K
70,10,10, >50K
50,10,40, <=50K
49,9,50, >50K
46,10,40, >50K
75,10,13, <=50K
60,10,40, <=50K
17,7,15, <=50K
47,14,45, <=50K
27,13,68, <=50K
23,10,20, <=50K
23,13,10, <=50K
61,4,54, <=50K
48,9,40, <=50K
44,10,60, >50K
40,15,40, <=50K
24,13,15, <=50K
82,10,20, <=50K
25,10,45, <=50K
48,4,40, <=50K
30,10,40, <=50K
55,4,40, <=50K
40,13,40, >50K
17,7,10, <=50K
42,16,50, <=50K
68,16,60, >50K
59,13,30, <=50K
26,10,40, <=50K
31,13,40, >50K
41,15,50, >50K
47,13,50, <=50K
30,9,40, <=50K
31,11,32, <=50K
28,15,85, <=50K
58,10,40, <=50K
21,9,40, <=50K
45,7,20, <=50K
51,9,50, <=50K
24,9,50, <=50K
36,9,40, <=50K
47,12,67, <=50K
34,9,40, <=50K
33,13,50, <=50K
38,10,55, <=50K
71,9,40, >50K
60,9,40, <=50K
47,9,40, <=50K
31,9,40, <=50K
36,7,40, >50K
28,13,40, >50K
50,9,50, >50K
60,9,40, <=50K
63,10,30, <=50K
55,6,40, <=50K
41,13,60, >50K
29,13,35, >50K
46,13,50, >50K
32,11,45, <=50K
49,10,40, >50K
33,9,40, <=50K
47,14,65, >50K
38,14,25, <=50K
38,10,40, <=50K
39,13,50, >50K
27,10,40, <=50K
22,9,40, <=50K
24,10,40, <=50K
39,9,40, <=50K
31,11,38, <=50K
52,9,45, >50K
35,10,80, <=50K
34,13,35, <=50K
36,9,40, <=50K
46,4,40, <=50K
34,9,40, <=50K
35,13,50, >50K
23,9,40, <=50K
54,14,50, >50K
33,6,35, <=50K
42,9,40, <=50K
24,10,40, <=50K
53,16,50, >50K
59,10,45, >50K
72,7,40, <=50K
46,9,45, <=50K
52,10,35, >50K
54,9,40, <=50K
42,9,60, >50K
41,9,25, <=50K
60,9,40, <=50K
33,9,60, <=50K
18,7,30, <=50K
24,13,40, <=50K
18,9,40, <=50K
24,13,40, <=50K
44,11,40, <=50K
17,5,15, <=50K
39,12,50, >50K
28,6,40, <=50K
64,13,40, <=50K
21,10,40, <=50K
45,14,40, >50K
39,15,45, >50K
50,4,40, <=50K
24,9,40, <=50K
38,13,50, <=50K
48,9,40, <=50K
24,9,40, <=50K
54,12,30, <=50K
29,13,40, <=50K
47,9,32, <=50K
30,13,40, >50K
28,10,30, <=50K
25,12,45, <=50K
31,5,20, <=50K
74,2,15, <=50K
52,9,38, <=50K
36,9,40, <=50K
25,10,40, <=50K
29,13,25, <=50K
63,9,4, <=50K
40,12,50, >50K
46,11,40, <=50K
50,13,8, <=50K
33,9,35, <=50K
19,9,40, <=50K
33,13,55, >50K
29,8,40, <=50K
61,3,56, <=50K
43,10,50, >50K
35,14,40, >50K
39,14,45, >50K
58,13,40, <=50K
27,10,50, >50K
20,9,42, <=50K
47,10,40, <=50K
45,10,40, >50K
37,13,40, <=50K
23,13,30, <=50K
23,9,35, <=50K
43,9,40, >50K
29,13,35, <=50K
48,9,40, <=50K
42,14,40, >50K
23,6,44, <=50K
46,10,45, >50K
31,12,20, <=50K
40,9,40, <=50K
45,9,40, <=50K
62,9,45, >50K
64,15,9, >50K
27,10,88, <=50K
47,9,60, <=50K
59,12,40, <=50K
21,9,40, <=50K
39,12,60, <=50K
38,10,40, >50K
31,13,40, >50K
45,9,40, <=50K
36,10,40, <=50K
29,13,60, <=50K
75,9,20, <=50K
47,15,50, >50K
25,9,36, <=50K
58,9,53, >50K
46,9,40, >50K
23,7,55, <=50K
37,9,40, <=50K
29,10,40, <=50K
57,9,42, >50K
22,10,35, <=50K
49,15,60, >50K
46,13,40, >50K
30,13,50, >50K
37,9,40, <=50K
