,income,age,disability,employment
0,13,77,0,0
1,15,78,0,0
2,7,77,0,0
3,6,62,0,0
4,4,73,0,0
5,4,72,0,0
6,8,80,0,0
7,13,78,0,0
8,13,77,0,0
9,9,74,0,0
10,6,68,0,0
11,6,66,0,0
12,12,63,0,0
13,9,76,0,0
14,5,85,0,0
15,10,69,0,1
16,3,74,0,0
17,8,80,0,0
18,9,85,0,0
19,7,85,0,0
20,14,54,0,0
21,14,55,0,0
22,7,71,0,0
23,4,72,0,0
24,14,72,0,0
25,14,57,0,0
26,4,66,0,0
27,6,73,0,0
28,7,59,0,0
29,7,53,0,0
30,1,75,0,0
31,6,80,0,0
32,8,80,0,0
33,8,80,0,0
34,8,85,0,0
35,8,77,0,0
36,14,63,0,0
37,14,69,0,0
38,13,63,0,1
42,12,77,0,0
43,7,34,0,0
44,13,76,0,0
45,13,74,0,0
46,12,68,0,0
48,3,75,0,0
49,6,67,0,0
50,13,85,0,0
51,8,45,0,0
52,8,51,0,0
53,16,62,0,0
55,6,23,0,0
56,6,64,0,0
57,6,85,0,0
58,15,63,0,0
59,12,79,0,0
60,12,65,0,0
61,6,80,0,0
62,13,65,0,0
63,7,78,0,0
64,7,85,0,0
65,3,71,0,0
66,9,80,0,0
67,14,66,0,1
68,14,59,0,0
69,9,78,0,0
70,7,69,0,0
71,9,66,0,0
72,9,65,0,0
73,5,77,0,0
75,8,68,0,0
76,7,77,0,0
77,11,61,0,0
78,4,80,0,0
79,14,69,0,0
80,14,74,0,0
81,13,72,0,0
82,10,80,0,0
83,9,63,0,0
84,4,70,1,0
85,9,73,0,0
87,5,63,0,0
88,6,61,0,0
89,6,70,0,0
90,12,78,0,0
91,10,66,0,0
92,9,80,0,0
94,14,70,0,0
95,14,57,0,0
97,5,85,0,0
98,4,76,0,0
99,15,64,0,0
100,12,66,0,0
101,8,66,0,0
102,8,62,0,0
103,4,68,0,0
104,4,66,0,0
105,8,63,0,0
106,11,64,0,0
107,15,68,0,0
108,15,85,0,0
109,4,85,0,0
110,7,71,0,0
111,8,80,0,0
112,8,85,0,0
113,5,71,0,0
114,13,79,0,0
115,13,79,0,0
116,15,70,0,0
117,15,65,0,0
118,9,66,0,0
119,9,66,0,0
120,13,80,0,0
121,11,75,0,0
122,11,75,0,0
123,2,79,0,0
124,7,80,0,0
125,7,77,0,0
126,12,73,0,0
127,12,70,0,0
128,7,69,0,0
129,6,53,0,0
130,15,64,0,0
131,9,85,0,0
132,9,79,0,0
133,11,69,0,0
134,15,63,0,0
135,7,85,0,0
136,7,78,0,0
137,8,56,0,0
139,15,80,0,0
140,8,74,0,0
141,8,77,0,0
142,15,78,0,0
143,4,80,0,0
144,4,80,0,0
145,4,85,0,0
146,4,80,0,0
147,12,71,0,0
148,4,76,0,0
149,7,85,0,0
150,4,68,0,0
151,13,76,0,0
152,13,75,0,0
153,8,73,0,0
154,7,74,0,0
155,7,71,0,0
156,1,75,0,0
157,8,80,0,0
158,6,80,0,0
159,14,64,0,1
160,9,67,0,0
161,9,68,0,0
162,13,64,0,0
163,13,66,0,0
164,9,75,0,0
166,5,64,0,0
167,5,64,0,0
168,9,80,0,0
169,6,71,0,0
170,5,63,0,0
171,11,69,0,0
172,7,74,0,0
173,1,60,0,0
174,13,66,0,0
175,13,53,0,0
176,6,71,0,0
177,9,85,0,0
178,8,64,0,0
179,8,57,0,0
180,16,78,0,0
181,16,73,0,0
182,7,75,0,0
183,9,85,0,0
184,12,85,0,0
185,12,85,0,0
186,12,64,0,0
187,6,85,0,0
188,10,74,0,1
189,14,78,0,0
190,14,78,0,0
192,14,54,1,1
193,6,79,0,0
194,6,58,0,0
195,10,72,0,0
196,10,70,0,0
197,8,71,0,0
198,6,80,0,0
199,14,71,0,0
201,15,58,0,1
202,6,85,0,0
203,11,73,0,0
204,15,72,0,0
205,12,68,0,0
206,12,78,0,0
207,11,80,0,0
208,11,85,0,0
209,11,80,0,0
210,11,74,0,0
211,6,80,0,0
212,13,74,0,0
213,13,85,0,0
214,10,73,0,0
215,10,80,0,0
216,8,85,0,0
217,6,85,0,0
218,3,85,0,0
219,13,66,0,0
220,7,79,0,0
221,11,65,0,0
222,11,66,0,0
223,11,70,0,0
224,11,79,0,0
225,9,71,0,0
226,9,75,0,0
227,9,66,0,0
228,10,85,0,0
229,8,76,0,0
230,8,71,0,0
231,7,79,0,0
232,12,73,0,0
233,8,80,0,0
234,14,77,0,0
235,13,67,0,0
236,11,65,0,0
237,11,67,0,0
238,11,78,0,0
239,5,70,0,0
240,12,73,0,0
241,12,70,0,0
242,15,65,0,0
243,12,78,0,0
244,12,80,0,0
245,7,78,0,0
246,15,72,0,0
247,15,54,0,0
248,11,73,0,0
249,11,70,0,0
250,12,70,0,0
251,13,56,0,1
252,12,76,0,0
253,7,64,0,0
254,11,62,0,1
255,14,73,1,0
256,10,77,0,0
257,7,85,0,0
258,7,80,0,0
259,9,85,0,0
260,5,75,0,0
261,5,70,0,0
262,10,76,0,0
263,10,72,0,0
264,13,80,0,0
265,13,80,0,0
266,5,70,0,0
267,13,59,0,0
268,13,80,0,0
269,13,80,0,0
270,15,60,1,0
271,14,64,0,0
272,14,68,0,0
273,15,72,0,0
274,15,72,0,0
275,9,76,0,0
276,9,80,0,0
277,4,80,0,0
278,15,66,0,0
279,15,65,0,0
280,13,78,0,0
281,8,74,0,0
282,14,80,0,0
283,14,63,0,0
284,9,61,0,0
285,10,72,0,0
286,9,61,0,0
287,11,80,0,0
288,16,64,0,0
289,11,77,0,0
290,7,80,0,0
291,16,67,0,0
292,16,65,0,0
293,13,63,0,0
294,11,76,0,0
295,15,64,0,0
296,6,62,0,0
297,12,80,0,0
298,11,85,0,0
299,11,68,0,0
300,9,75,0,0
301,9,52,0,0
303,11,52,1,0
304,6,85,0,0
305,8,80,0,0
306,10,74,0,0
307,10,67,0,0
308,10,74,0,0
309,10,68,0,0
310,13,63,0,0
311,1,78,0,0
312,1,69,0,1
313,6,85,0,0
314,11,85,0,0
315,11,85,0,0
316,10,77,0,0
317,10,73,0,0
318,7,80,0,0
319,12,69,0,0
320,12,71,0,0
321,8,69,0,0
322,6,76,0,0
323,6,68,0,0
324,6,65,0,0
325,12,80,0,0
326,12,80,0,0
327,13,71,0,0
329,15,69,0,0
330,15,71,0,0
331,15,72,0,0
332,15,63,0,0
333,13,76,0,0
334,13,76,0,0
335,12,62,0,0
336,12,60,0,0
337,13,80,0,0
338,12,85,0,0
339,9,85,0,0
340,12,80,0,0
341,12,80,0,0
342,16,72,0,0
343,16,62,0,0
344,13,80,0,0
345,13,78,0,0
346,7,85,0,0
347,13,60,0,0
348,7,55,0,0
349,8,68,0,0
350,8,66,0,0
351,11,66,0,1
352,4,76,0,0
353,12,80,0,0
354,10,66,0,0
355,10,66,0,0
356,7,76,0,0
357,7,79,0,0
358,14,71,0,0
359,9,85,0,0
360,9,85,0,0
361,13,64,0,0
362,11,63,1,0
363,11,76,0,0
364,11,77,0,0
365,5,69,0,0
366,14,77,0,0
367,14,79,0,0
368,15,69,0,0
369,13,70,0,1
370,14,77,0,0
371,13,64,0,0
372,13,67,0,0
373,8,74,0,0
374,10,85,0,0
375,10,85,0,0
376,14,78,0,0
377,13,69,0,0
378,13,69,0,0
379,12,69,0,0
380,3,56,0,0
381,15,67,0,0
382,4,56,0,0
383,3,69,0,0
384,6,63,0,0
385,6,66,0,0
386,6,69,0,0
387,12,68,0,0
388,6,85,0,0
389,12,58,0,0
390,14,67,0,0
391,9,78,0,0
392,9,71,0,0
393,9,75,0,0
394,4,66,0,0
395,4,69,0,0
396,8,79,0,0
397,13,62,0,0
398,13,58,0,0
399,9,85,0,0
400,9,64,0,0
401,4,85,0,0
402,14,70,0,0
403,11,77,0,0
404,11,74,0,0
405,7,75,0,0
406,8,85,0,0
407,11,73,0,0
408,11,71,0,0
409,5,64,0,0
410,14,70,0,0
411,14,63,0,1
412,7,79,0,0
413,14,69,0,0
414,8,85,0,0
415,14,66,0,0
416,14,67,0,0
417,11,65,0,0
418,11,67,0,0
419,11,69,0,0
420,12,73,1,0
421,12,69,1,1
422,12,64,0,0
424,11,60,0,0
425,11,63,0,0
426,6,79,0,0
427,6,79,1,0
428,12,66,0,0
429,12,68,0,0
430,10,79,0,0
431,8,85,0,0
432,8,67,0,0
433,8,65,0,0
434,12,74,0,0
435,12,65,0,0
436,4,78,0,0
437,7,57,0,0
